nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion,financiacion_total_por_acciones_log,ultima_financiacion_por_acciones_log,monto_de_ultima_financiacion_log,financiacion_total_log,seguidores_en_linkedin_log,seguidores_en_facebook_log,seguidores_en_twitter_log,empleados_en_linkedin_log,años_desde_ultima_financiacion_log,cluster_kmeans
Leena AI,2018-01-01,0,0,active,Software y Servicios B2B,7,277.0,131000.0,557.0,329,30,3.0,0,3,40000000.0,30000000.0,0,16,3.0,40000000.0,5,series_b,2021-09-28,30000000.0,3.783561643835617,17.50439003707821,17.216707972959764,17.216707972959764,17.50439003707821,11.782960235741939,6.324358962381311,5.799092654460526,5.627621113690637,1.565185382817056,1
Bits,2018-01-01,0,0,active,Finanzas,7,41.0,35000.0,4700.0,0,1,1.0,0,1,257582.0,125000.0,0,1,1.0,257582.0,2,seed,2020-08-25,125000.0,4.876712328767123,12.45909727724583,11.736077016252437,11.736077016252437,12.45909727724583,10.463131911491967,8.45553053102413,0.0,3.7376696182833684,1.7709974777796258,0
Procol,2018-01-01,0,0,active,Software y Servicios B2B,7,168.0,45000.0,284.0,0,7,2.0,0,2,17015536.0,6500000.0,0,22,4.0,17115536.0,5,series_a,2022-09-13,6500000.0,2.824657534246575,16.64963742580702,15.687312888712007,15.687312888712007,16.655497205440184,10.714439990727769,5.652489180268651,0.0,5.1298987149230735,1.3414689297398263,1
Nettrons,2018-01-01,0,0,active,No Especificado,7,1.0,66.0,0.0,0,0,2.0,1,1,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-03-18,150000.0,6.317808219178082,11.918397239722838,11.918397239722838,11.918397239722838,11.918397239722838,4.204692619390966,0.0,0.0,0.6931471805599453,1.9903108595274694,0
Spring in Africa,2018-01-01,0,0,active,Finanzas,7,19.0,6000.0,2000.0,0,3,2.0,0,2,1564500.0,1269500.0,0,25,2.0,1564500.0,3,seed,2020-06-24,1269500.0,5.046575342465753,14.263077481272717,14.054134467838258,14.054134467838258,14.263077481272717,8.699681400989514,7.601402334583733,0.0,2.995732273553991,1.7994920526742448,0
Glide Apps,2018-01-01,3,0,active,Software y Servicios B2B,7,117.0,19000.0,3300.0,0,1,3.0,0,3,23750000.0,20000000.0,0,9,3.0,23750000.0,4,series_a,2022-04-21,20000000.0,3.221917808219178,16.983093130550188,16.811242881518265,16.811242881518265,16.983093130550188,9.852246888342531,8.101980731853192,0.0,4.770684624465665,1.4402894817376242,1
Cocoon_2,2018-01-01,0,0,active,Software y Servicios B2B,7,2.0,250.0,0.0,0,4,2.0,0,2,3000000.0,3000000.0,0,10,1.0,3000000.0,1,seed,2019-06-04,3000000.0,6.104109589041096,14.914123179965662,14.914123179965662,14.914123179965662,14.914123179965662,5.5254529391317835,0.0,0.0,1.0986122886681098,1.960673431956173,0
Memfault,2018-01-01,0,0,active,Software y Servicios B2B,7,58.0,10000.0,0.0,0,28,3.0,0,3,35150000.0,24000000.0,0,9,4.0,35150000.0,4,series_b,2023-01-24,24000000.0,2.46027397260274,17.37513520467045,16.993564429978885,16.993564429978885,17.37513520467045,9.210440366976517,0.0,0.0,4.07753744390572,1.2413477687679997,1
Conta Simples,2018-01-01,0,0,active,Finanzas,7,338.0,50000.0,5600.0,420,33,4.0,0,4,67781476.0,200000000.0,0,26,5.0,67781476.0,7,series_b,2024-01-09,200000000.0,1.501369863013699,18.031799514994574,19.11382792951231,19.11382792951231,18.031799514994574,10.819798284210286,8.630700432209832,6.042632833682381,5.82600010738045,0.916838527012477,1
Ysplit,2018-01-01,0,0,active,Finanzas,7,2.0,438.0,0.0,0,0,3.0,0,3,217024.0,150000.0,0,7,2.0,217024.0,2,seed,2019-03-18,150000.0,6.317808219178082,12.287767833260009,11.918397239722838,11.918397239722838,12.287767833260009,6.0844994130751715,0.0,0.0,1.0986122886681098,1.9903108595274694,0
