nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion
Fitia,2019-06-17,0,0,active,Salud,6,27.0,6000.0,0.0,0,0,2.0,0,2,125000.0,125000.0,0,3,1.0,125000.0,2,pre_seed,2021-08-31,125000.0,3.8602739726027395
GIMO,2019-06-14,0,0,active,Finanzas,6,50.0,3000.0,9500.0,0,10,1.0,0,1,19500000.0,12000000.0,0,10,2.0,19500000.0,5,series_a,2023-07-24,12000000.0,1.9643835616438357
Revel,2019-06-01,1,0,active,Consumo,6,4.0,801.0,3600.0,818,1,2.0,2,0,6150000.0,3500000.0,0,10,3.0,6150000.0,3,seed,2021-08-02,3500000.0,3.9397260273972603
Jenfi,2019-05-17,0,0,active,Finanzas,6,37.0,9000.0,1000.0,344,30,2.0,0,2,15260000.0,6600000.0,1,19,4.0,41160000.0,7,series_b,2023-05-15,6600000.0,2.1561643835616437
FamPay,2019-05-09,0,0,active,Finanzas,6,100.0,49000.0,0.0,0,37,2.0,0,2,42850000.0,38000000.0,0,22,4.0,42850000.0,3,series_a,2021-06-16,38000000.0,4.068493150684931
Greywing,2019-05-08,0,0,active,Software y Servicios B2B,6,4.0,3000.0,0.0,16,0,2.0,0,2,2625000.0,2500000.0,0,12,1.0,2625000.0,4,seed,2021-10-06,2500000.0,3.7616438356164386
Disclo,2019-05-07,0,0,active,Software y Servicios B2B,6,15.0,6000.0,0.0,125,4,2.0,1,1,6625000.0,5125000.0,0,6,3.0,6625000.0,2,seed,2023-02-01,5125000.0,2.4383561643835616
PAYZE,2019-05-05,0,0,active,Finanzas,6,19.0,2000.0,10000.0,0,0,2.0,0,2,125000.0,125000.0,0,7,1.0,125000.0,3,pre_seed,2021-08-31,125000.0,3.8602739726027395
Segmed,2019-05-01,0,0,active,Software y Servicios B2B,6,44.0,4000.0,0.0,631,16,4.0,1,3,20420000.0,10400000.0,0,16,6.0,20420000.0,7,series_a,2024-09-03,10400000.0,0.8493150684931506
Outtalent,2019-05-01,0,0,active,Educación,6,13.0,4000.0,157.0,0,0,2.0,0,2,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-08-19,150000.0,5.895890410958904
GradJoy,2019-05-01,0,0,active,Educación,6,2.0,311.0,0.0,0,3,2.0,0,2,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-08-19,150000.0,5.895890410958904
Matidor.com,2019-04-23,0,0,active,Software y Servicios B2B,6,18.0,4000.0,252.0,147,6,2.0,0,2,1850000.0,1725000.0,0,3,2.0,1850000.0,3,seed,2022-01-17,1725000.0,3.4794520547945207
Gamebytes,2019-04-02,0,0,active,No Especificado,6,2.0,93.0,0.0,0,0,5.0,0,5,150000.0,150000.0,0,1,1.0,150000.0,1,pre_seed,2019-08-19,150000.0,5.895890410958904
Moichor,2019-04-01,0,0,active,Software y Servicios B2B,6,21.0,2000.0,0.0,0,7,3.0,0,3,4045000.0,4000000.0,0,2,1.0,4045000.0,3,seed,2021-04-15,4000000.0,4.238356164383561
Courier,2019-04-01,0,0,active,Software y Servicios B2B,6,100.0,5000.0,84.0,0,28,1.0,0,1,47400000.0,35000000.0,0,17,5.0,47500000.0,5,series_b,2022-06-22,35000000.0,3.052054794520548
Zingbus,2019-04-01,0,0,active,No Especificado,6,316.0,23000.0,19000.0,768,24,3.0,0,3,14986371.0,9000000.0,0,29,6.0,14986371.0,7,series_a,2024-12-17,9000000.0,0.5616438356164384
PowerUs,2019-04-01,1,0,active,No Especificado,6,117.0,6000.0,0.0,0,4,2.0,0,2,42767541.0,24000000.0,0,17,2.0,42767541.0,4,series_b,2023-09-20,24000000.0,1.8054794520547945
Memberstack,2019-03-27,0,0,active,Finanzas,6,12.0,2000.0,0.0,57,0,2.0,0,2,2000000.0,2000000.0,0,9,1.0,2000000.0,2,seed,2020-10-13,2000000.0,4.742465753424658
Bun,2019-03-26,0,0,active,Software y Servicios B2B,6,23.0,3000.0,0.0,0,2,1.0,0,1,7000000.0,7000000.0,0,3,1.0,7000000.0,1,seed,2022-08-23,7000000.0,2.882191780821918
Mage App,2019-03-19,0,0,active,Software y Servicios B2B,6,2.0,44.0,600.0,0,0,2.0,0,2,635000.0,635000.0,0,1,1.0,635000.0,1,seed,2019-03-19,635000.0,6.315068493150685
Munily,2019-03-03,0,0,active,Bienes Raíces y Construcción,6,31.0,4000.0,263.0,407,6,4.0,2,2,1365000.0,665000.0,0,11,3.0,1365000.0,6,seed,2022-02-05,665000.0,3.4273972602739726
PayMongo,2019-03-01,0,0,active,Finanzas,6,153.0,13000.0,29000.0,0,71,4.0,0,4,45700000.0,31000000.0,0,12,1.0,45700000.0,3,series_b,2022-02-20,31000000.0,3.3863013698630136
Mystic,2019-03-01,1,0,active,Software y Servicios B2B,6,9.0,3000.0,0.0,467,16,2.0,0,2,3189668.0,3000000.0,0,3,2.0,3208753.0,6,seed,2022-04-27,3000000.0,3.2054794520547945
GiveAway,2019-03-01,0,0,active,Consumo,6,14.0,219.0,0.0,0,1,3.0,0,3,630000.0,480000.0,0,2,1.0,630000.0,3,pre_seed,2021-09-20,480000.0,3.8054794520547945
Calii,2019-03-01,0,0,active,Consumo,6,117.0,3000.0,60000.0,0,3,2.0,0,2,32600000.0,22500000.0,0,10,3.0,32600000.0,4,series_a,2022-01-21,22500000.0,3.4684931506849317
Text Blaze,2019-02-19,1,0,active,Software y Servicios B2B,6,15.0,5000.0,202.0,0,14,2.0,0,2,3300000.0,3300000.0,0,7,3.0,3300000.0,3,seed,2021-05-05,3300000.0,4.183561643835616
Digi-Prex,2019-02-18,0,0,active,Finanzas,6,27.0,4000.0,106.0,30,4,1.0,0,1,5650000.0,5500000.0,0,16,1.0,5650000.0,2,seed,2019-09-20,5500000.0,5.808219178082192
Synder,2019-02-01,0,0,active,Finanzas,6,68.0,3000.0,1100.0,0,22,2.0,0,2,3000000.0,1000000.0,0,3,1.0,3000000.0,2,seed,2021-08-31,1000000.0,3.8602739726027395
SuperTokens,2019-02-01,1,0,active,Software y Servicios B2B,6,18.0,3000.0,0.0,1,6,2.0,0,2,4950000.0,3500000.0,0,2,1.0,4950000.0,4,seed,2023-01-01,3500000.0,2.5232876712328767
Clicoh,2019-02-01,0,0,active,Software y Servicios B2B,6,215.0,20000.0,1200.0,0,21,4.0,0,4,26000000.0,1000000.0,0,14,1.0,26000000.0,4,series_a,2025-02-07,1000000.0,0.4191780821917808
Blair,2019-02-01,0,0,active,Educación,6,2.0,1000.0,15.0,103,6,3.0,0,3,7400000.0,6300000.0,0,10,2.0,107400000.0,3,seed,2021-05-07,6300000.0,4.178082191780822
Datasaur,2019-02-01,0,0,active,Software y Servicios B2B,6,66.0,3000.0,15.0,253,14,1.0,0,1,7900000.0,4000000.0,0,10,1.0,7900000.0,3,seed,2023-08-03,4000000.0,1.936986301369863
Hannah Life Technologies,2019-01-23,1,3,active,Salud,6,18.0,2000.0,3100.0,0,6,1.0,0,1,7150000.0,5150000.0,0,7,2.0,7150000.0,3,seed,2022-05-09,5150000.0,3.1726027397260275
ElectroNeek,2019-01-11,0,0,active,Software y Servicios B2B,6,58.0,42000.0,3100.0,342,75,4.0,0,4,23655000.0,20000000.0,0,19,2.0,23655000.0,7,series_a,2021-06-01,20000000.0,4.109589041095891
Zelos Gaming,2019-01-10,0,0,active,No Especificado,6,14.0,334.0,1100.0,0,0,2.0,0,2,300000.0,300000.0,0,5,1.0,300000.0,1,pre_seed,2020-03-16,300000.0,5.32054794520548
BotCity,2019-01-05,0,0,active,Software y Servicios B2B,6,38.0,14000.0,0.0,641,1,2.0,0,2,3000000.0,500000.0,0,5,3.0,3000000.0,2,seed,2022-02-11,500000.0,3.410958904109589
COUTURME,2019-01-03,1,0,active,Software y Servicios B2B,6,2.0,3266.0,0.0,0,1,1.0,1,0,650000.0,150000.0,0,1,1.0,650000.0,2,pre_seed,2019-03-18,150000.0,6.317808219178082
Cyble,2019-01-01,8,1,active,Software y Servicios B2B,6,228.0,67000.0,0.0,18700,2933,2.0,1,1,44807000.0,6200000.0,0,14,5.0,44807000.0,11,series_b,2023-11-14,6200000.0,1.6547945205479453
Dover,2019-01-01,0,0,active,Software y Servicios B2B,6,1400.0,8000.0,49.0,373,108,3.0,1,2,22800000.0,20000000.0,0,9,2.0,22800000.0,2,series_a,2021-07-19,20000000.0,3.978082191780822
Rainbow,2019-01-01,0,0,active,Finanzas,6,320.0,2000.0,0.0,0,9,3.0,0,3,19500000.0,18000000.0,0,8,1.0,19500000.0,3,series_a,2021-10-01,18000000.0,3.7753424657534245
Living Carbon,2019-01-01,0,0,active,Salud,6,38.0,14000.0,0.0,0,21,2.0,1,1,36000000.0,21000000.0,0,25,2.0,36000000.0,5,series_a,2023-01-17,21000000.0,2.4794520547945207
Alloy Automation,2019-01-01,0,0,active,Software y Servicios B2B,6,39.0,21000.0,709.0,0,19,2.0,1,1,25000000.0,20000000.0,0,18,4.0,25000000.0,3,series_a,2022-02-22,20000000.0,3.3808219178082193
Rosebud AI,2019-01-01,0,0,active,Software y Servicios B2B,6,21.0,4000.0,0.0,0,3,1.0,1,0,8800000.0,6600000.0,0,12,3.0,8800000.0,4,seed,2022-01-01,6600000.0,3.5232876712328767
Replicate,2019-01-01,3,0,active,Software y Servicios B2B,6,51.0,10000.0,0.0,0,21,1.0,0,1,57800000.0,40000000.0,0,13,2.0,57800000.0,4,series_b,2023-12-05,40000000.0,1.5972602739726027
Daybreak Health,2019-01-01,0,0,active,Software y Servicios B2B,6,215.0,10000.0,88.0,131,17,3.0,0,3,24925000.0,13000000.0,0,14,4.0,24925000.0,5,series_b,2023-08-08,13000000.0,1.9232876712328768
Ello,2019-01-01,1,1,active,Educación,6,75.0,6000.0,14000.0,0,5,3.0,1,2,15150000.0,15000000.0,0,15,2.0,15450000.0,3,series_a,2023-09-07,15000000.0,1.841095890410959
Parker,2019-01-01,0,0,active,Finanzas,6,119.0,10000.0,0.0,0,7,2.0,0,2,57000000.0,20000000.0,0,6,2.0,177000000.0,5,series_b,2024-11-09,20000000.0,0.6657534246575343
Freshpaint,2019-01-01,0,0,active,Software y Servicios B2B,6,115.0,7000.0,0.0,240,19,2.0,0,2,41850000.0,30700000.0,0,8,3.0,46850000.0,5,series_b,2024-07-16,30700000.0,0.9835616438356164
Phoenix Health,2019-01-01,0,0,active,Salud,6,61.0,3000.0,5000.0,141,2,2.0,0,2,55180000.0,50000000.0,0,10,3.0,55180000.0,4,series_a,2025-03-13,50000000.0,0.32602739726027397
Landed_1,2019-01-01,2,0,active,Software y Servicios B2B,6,44.0,4000.0,2600.0,118,3,2.0,2,0,8400000.0,7000000.0,0,14,2.0,8400000.0,3,seed,2022-04-07,7000000.0,3.26027397260274
Beacons,2019-01-01,1,0,active,Software y Servicios B2B,6,89.0,5000.0,1200.0,0,7,4.0,0,4,29150000.0,23000000.0,0,18,2.0,29150000.0,5,series_a,2023-11-02,23000000.0,1.6876712328767123
Photoroom,2019-01-01,0,0,active,Software y Servicios B2B,6,567.0,16000.0,255000.0,0,73,2.0,0,2,62125000.0,43000000.0,0,8,4.0,62125000.0,5,series_b,2024-02-27,43000000.0,1.367123287671233
Armilla AI,2019-01-01,0,0,active,Software y Servicios B2B,6,17.0,4000.0,0.0,0,51,4.0,0,4,6455616.0,6000000.0,0,16,2.0,6455616.0,5,seed,2024-02-15,6000000.0,1.4
Ajaib,2019-01-01,0,0,active,Finanzas,6,647.0,180000.0,36000.0,0,37,2.0,1,1,246293899.0,2200000000000.0,0,14,6.0,246293899.0,5,series_b,2021-10-04,2200000000000.0,3.767123287671233
Shiru,2019-01-01,0,0,active,Software y Servicios B2B,6,30.0,8000.0,0.0,0,58,1.0,1,0,46500000.0,16000000.0,0,18,2.0,56500000.0,5,series_b,2024-11-12,16000000.0,0.6575342465753424
Toolbox,2019-01-01,0,0,active,Finanzas,6,19.0,1000.0,0.0,82,8,2.0,0,2,8250000.0,5000000.0,0,10,1.0,8250000.0,3,seed,2022-04-01,5000000.0,3.276712328767123
Kraftful,2019-01-01,2,0,active,Software y Servicios B2B,6,12.0,8000.0,137.0,1,8,2.0,2,0,3150000.0,2000000.0,0,11,1.0,3150000.0,4,seed,2022-02-08,2000000.0,3.419178082191781
Lightly,2019-01-01,0,0,active,Software y Servicios B2B,6,26.0,4000.0,139.0,598,4,2.0,0,2,3125000.0,3000000.0,0,6,2.0,3125000.0,4,seed,2022-05-11,3000000.0,3.1671232876712327
Ramen VR,2019-01-01,0,0,active,Software y Servicios B2B,6,14.0,2000.0,0.0,136,11,2.0,1,1,45173114.0,35000000.0,0,5,3.0,45173114.0,4,series_b,2022-03-17,35000000.0,3.317808219178082
Deepnote,2019-01-01,0,0,active,Software y Servicios B2B,6,35.0,11000.0,706.0,0,8,4.0,0,4,23800000.0,20000000.0,0,18,2.0,23800000.0,3,series_a,2022-01-31,20000000.0,3.441095890410959
Rutter,2019-01-01,0,0,active,Software y Servicios B2B,6,32.0,6000.0,0.0,696,6,2.0,0,2,28500000.0,27000000.0,0,18,3.0,28500000.0,3,series_a,2022-03-15,27000000.0,3.3232876712328765
UserGems,2019-01-01,2,1,active,Software y Servicios B2B,6,97.0,20000.0,532.0,273,10,2.0,0,2,22400000.0,20000000.0,0,7,2.0,22400000.0,3,series_a,2021-10-26,20000000.0,3.706849315068493
Synapticure,2019-01-01,1,0,active,Salud,6,87.0,23000.0,0.0,0,25,2.0,0,2,78245500.0,25000000.0,0,23,2.0,78245500.0,5,series_a,2024-11-19,25000000.0,0.6383561643835617
Eclipse Foods,2019-01-01,0,0,active,Industria,6,32.0,8000.0,1200.0,0,26,2.0,0,2,55650000.0,40000000.0,0,13,3.0,55650000.0,4,series_b,2022-06-28,40000000.0,3.0356164383561643
Ophelia,2019-01-01,0,0,active,Salud,6,309.0,7000.0,4200.0,268,11,2.0,0,2,67700000.0,50000000.0,0,16,2.0,67700000.0,3,series_b,2021-12-14,50000000.0,3.5726027397260274
Gaiascope,2019-01-01,0,0,active,Software y Servicios B2B,6,6.0,2000.0,0.0,0,1,2.0,2,0,4318000.0,2000000.0,0,7,2.0,4318000.0,2,seed,2021-08-17,2000000.0,3.8986301369863012
Nomic,2019-01-01,6,0,active,Software y Servicios B2B,6,89.0,8000.0,0.0,248,8,4.0,0,4,59000000.0,42000000.0,0,17,3.0,60025686.0,8,series_b,2024-09-17,42000000.0,0.810958904109589
Turing Labs,2019-01-01,0,4,active,Software y Servicios B2B,6,21.0,3000.0,0.0,74,12,2.0,0,2,18400000.0,16500000.0,0,11,2.0,18400000.0,5,series_a,2022-01-19,16500000.0,3.473972602739726
ditto,2019-01-01,0,0,active,Software y Servicios B2B,6,18.0,2000.0,0.0,670,0,2.0,2,0,1650000.0,1500000.0,0,8,1.0,1650000.0,2,seed,2021-06-01,1500000.0,4.109589041095891
Laudable,2019-01-01,0,0,active,Software y Servicios B2B,6,8.0,3000.0,106.0,0,0,1.0,1,0,3075000.0,2950000.0,0,19,1.0,3075000.0,2,seed,2021-10-07,2950000.0,3.758904109589041
Juicy Marbles,2019-01-01,0,0,active,Consumo,6,40.0,8000.0,9500.0,0,38,4.0,0,4,4500000.0,4500000.0,0,8,1.0,4500000.0,2,seed,2021-11-01,4500000.0,3.6904109589041094
Spenmo,2019-01-01,0,0,active,Finanzas,6,73.0,24000.0,77.0,0,29,2.0,0,2,121350000.0,85350000.0,0,23,2.0,121350000.0,4,series_b,2022-01-05,85350000.0,3.5123287671232877
Atomic Industries,2019-01-01,0,0,active,Industria,6,40.0,2000.0,0.0,0,10,3.0,1,2,20325000.0,17000000.0,0,11,2.0,20325000.0,4,seed,2023-12-04,17000000.0,1.6
Multiverse,2019-01-01,0,0,active,No Especificado,6,12.0,565.0,0.0,64,1,3.0,1,2,17650000.0,17500000.0,0,7,1.0,17650000.0,2,series_a,2021-04-22,17500000.0,4.219178082191781
Zitara Technologies,2019-01-01,1,9,active,Software y Servicios B2B,6,34.0,3000.0,0.0,0,11,2.0,0,2,29000000.0,17000000.0,0,9,2.0,29000000.0,3,series_a,2024-12-04,17000000.0,0.5972602739726027
Keeper_2,2019-01-01,1,0,active,Finanzas,6,33.0,5000.0,15000.0,465,8,2.0,0,2,15750000.0,13000000.0,0,14,2.0,15750000.0,4,series_a,2021-04-29,13000000.0,4.2
Gaiia,2019-01-01,0,0,active,Software y Servicios B2B,6,68.0,3000.0,0.0,80,28,4.0,0,4,26279529.0,18000000.0,0,7,3.0,26279529.0,3,series_a,2024-05-25,18000000.0,1.126027397260274
Compound,2019-01-01,0,0,active,Finanzas,6,2.0,29.0,0.0,0,1,1.0,0,1,35000000.0,25000000.0,0,16,1.0,35000000.0,3,series_b,2022-01-27,25000000.0,3.452054794520548
Dripos,2019-01-01,0,0,active,Software y Servicios B2B,6,32.0,3000.0,0.0,0,26,2.0,0,2,17395000.0,11000000.0,0,9,4.0,17395000.0,5,series_a,2024-04-24,11000000.0,1.210958904109589
PowerX,2019-01-01,0,0,active,Software y Servicios B2B,6,17.0,3000.0,153.0,0,7,1.0,0,1,8000000.0,4000000.0,0,9,2.0,8000000.0,3,seed,2023-05-01,4000000.0,2.1945205479452055
Ruth Health,2019-01-01,0,0,active,Salud,6,3.0,2000.0,82.0,0,14,2.0,2,0,3125000.0,2400000.0,0,14,1.0,3125000.0,3,seed,2022-04-28,2400000.0,3.202739726027397
CarbonChain,2019-01-01,4,0,active,Software y Servicios B2B,6,2.0,54.0,0.0,0,23,4.0,0,4,12125000.0,10000000.0,0,12,4.0,12125000.0,5,series_a,2023-04-25,10000000.0,2.210958904109589
Zippi,2019-01-01,0,0,active,Finanzas,6,91.0,11000.0,13000.0,0,2,3.0,1,2,82000000.0,82000000.0,0,23,2.0,82000000.0,6,series_a,2022-06-08,82000000.0,3.0904109589041098
Treble.ai,2019-01-01,0,0,active,Software y Servicios B2B,6,63.0,12000.0,0.0,319,3,3.0,0,3,15000000.0,15000000.0,0,15,2.0,15000000.0,3,series_a,2022-07-21,15000000.0,2.9726027397260273
General Proximity,2019-01-01,0,0,active,Salud,6,22.0,6000.0,0.0,393,1,1.0,0,1,16000000.0,16000000.0,0,15,1.0,16000000.0,1,seed,2025-01-03,16000000.0,0.5150684931506849
Female Invest,2019-01-01,8,0,active,Educación,6,57.0,71000.0,79000.0,0,33,3.0,3,0,17291512.0,10300000.0,0,11,3.0,17291512.0,3,series_a,2024-07-29,10300000.0,0.947945205479452
WhiteLab Genomics,2019-01-01,0,0,active,Software y Servicios B2B,6,51.0,8000.0,1.0,223,10,2.0,0,2,10500000.0,10000000.0,0,3,3.0,10500000.0,2,seed,2022-09-12,10000000.0,2.8273972602739725
Gotrade,2019-01-01,1,0,active,Finanzas,6,106.0,15000.0,8800.0,0,20,4.0,0,4,22650000.0,15500000.0,0,21,2.0,22650000.0,3,series_a,2022-01-20,15500000.0,3.4712328767123286
Coperniq Inc.,2019-01-01,0,0,active,No Especificado,6,19.0,881.0,666.0,0,7,2.0,0,2,4500000.0,4000000.0,0,2,2.0,4500000.0,2,seed,2023-11-06,4000000.0,1.6767123287671233
Karat Financial,2019-01-01,0,0,active,Finanzas,6,42.0,10000.0,0.0,0,19,2.0,0,2,55600000.0,40000000.0,0,27,4.0,100600000.0,7,series_b,2023-07-19,40000000.0,1.978082191780822
1build,2019-01-01,0,0,active,Bienes Raíces y Construcción,6,13.0,4000.0,5200.0,223,6,1.0,0,1,14650000.0,14500000.0,0,8,3.0,14650000.0,3,series_a,2021-09-22,14500000.0,3.8
Elpha,2019-01-01,0,0,active,No Especificado,6,55.0,19000.0,0.0,27,10,3.0,1,2,1250000.0,1100000.0,0,11,1.0,1250000.0,2,seed,2019-11-06,1100000.0,5.67945205479452
Okay,2019-01-01,0,0,active,Software y Servicios B2B,6,62.0,1000.0,0.0,174,8,2.0,0,2,6630000.0,4430000.0,0,4,3.0,6630000.0,3,seed,2022-02-16,4430000.0,3.3972602739726026
goDutch,2019-01-01,0,0,active,Finanzas,6,44.0,8000.0,1000.0,522,4,3.0,0,3,1850000.0,1700000.0,0,9,1.0,1850000.0,2,seed,2020-07-14,1700000.0,4.991780821917808
GitStart,2019-01-01,0,0,active,Software y Servicios B2B,6,39.0,5000.0,613.0,0,2,1.0,0,1,5150000.0,5000000.0,0,17,2.0,5150000.0,2,seed,2022-05-12,5000000.0,3.164383561643836
Curacel,2019-01-01,0,0,active,Finanzas,6,55.0,9000.0,439.0,15,16,2.0,0,2,3951000.0,3000000.0,0,21,7.0,4071000.0,8,seed,2023-02-14,3000000.0,2.4027397260273973
Potion,2019-01-01,3,0,active,Software y Servicios B2B,6,11.0,4000.0,0.0,0,0,4.0,0,4,125000.0,125000.0,0,1,1.0,125000.0,1,pre_seed,2021-08-31,125000.0,3.8602739726027395
Heroic Story,2019-01-01,0,0,active,No Especificado,6,6.0,596.0,0.0,309,1,2.0,0,2,7400000.0,6000000.0,0,18,1.0,7400000.0,2,seed,2022-11-17,6000000.0,2.6465753424657534
Resquared,2019-01-01,0,0,active,Software y Servicios B2B,6,39.0,4000.0,0.0,0,4,2.0,0,2,5000000.0,5000000.0,0,10,1.0,5000000.0,2,seed,2024-07-23,5000000.0,0.9643835616438357
GroMo,2019-01-01,0,0,active,Finanzas,6,775.0,28000.0,10000.0,555,24,2.0,0,2,11575261.0,11000000.0,0,21,3.0,11575261.0,3,series_a,2022-09-06,11000000.0,2.8438356164383563
Warmly,2019-01-01,0,0,active,Software y Servicios B2B,6,118.0,18000.0,12.0,5,1,4.0,2,2,21895000.0,6000000.0,0,15,5.0,21895000.0,8,series_a,2025-02-04,6000000.0,0.4273972602739726
AntWalk,2019-01-01,0,0,active,Educación,6,91.0,28000.0,555.0,797,3,5.0,0,5,8766897.0,7500000.0,0,7,3.0,8766897.0,4,series_a,2022-07-05,7500000.0,3.0164383561643837
Kingdom Supercultures,2019-01-01,0,0,active,Industria,6,23.0,2000.0,0.0,190,5,2.0,0,2,25125000.0,25000000.0,0,17,4.0,26350000.0,7,series_a,2021-10-05,25000000.0,3.7643835616438355
Current Foods,2019-01-01,0,1,active,Salud,6,8.0,7000.0,0.0,207,10,3.0,1,2,21204677.0,18000000.0,0,14,4.0,21204677.0,4,seed,2022-06-23,18000000.0,3.0493150684931507
Akiflow,2019-01-01,0,0,active,Software y Servicios B2B,6,20.0,5000.0,2100.0,0,3,2.0,0,2,1905000.0,1780000.0,0,3,1.0,1905000.0,2,seed,2022-02-03,1780000.0,3.4328767123287673
Multis,2019-01-01,1,0,active,Finanzas,6,29.0,2000.0,0.0,0,11,2.0,0,2,9350000.0,7000000.0,0,20,2.0,9350000.0,3,series_a,2021-12-17,7000000.0,3.5643835616438357
Coderhouse,2019-01-01,0,0,active,Educación,6,500.0,418000.0,94000.0,0,198,3.0,0,3,14000000.0,13500000.0,0,7,2.0,14000000.0,3,series_a,2021-07-29,13500000.0,3.9506849315068493
Matter,2019-01-01,0,0,active,Software y Servicios B2B,6,7.0,285.0,0.0,0,0,2.0,0,2,7125000.0,7000000.0,0,11,2.0,7125000.0,2,series_a,2021-10-06,7000000.0,3.7616438356164386
Unflow,2019-01-01,1,0,active,Software y Servicios B2B,6,3.0,790.0,0.0,0,0,3.0,1,2,2150000.0,2000000.0,0,5,3.0,2150000.0,2,seed,2020-07-22,2000000.0,4.96986301369863
Vendr,2019-01-01,0,0,active,Software y Servicios B2B,6,236.0,24000.0,313.0,0,23,2.0,0,2,216000000.0,150000000.0,0,11,4.0,216000000.0,5,series_b,2022-06-16,150000000.0,3.0684931506849313
BuildBuddy,2019-01-01,0,0,active,Software y Servicios B2B,6,18.0,726.0,211.0,294,2,2.0,0,2,3300000.0,3150000.0,0,7,1.0,3300000.0,2,seed,2020-12-01,3150000.0,4.608219178082192
Brite Benefits,2019-01-01,0,0,active,Educación,6,24.0,2000.0,0.0,0,0,1.0,0,1,11050000.0,7800000.0,0,3,1.0,11050000.0,4,series_a,2022-07-19,7800000.0,2.978082191780822
MedMe Health,2019-01-01,0,0,active,Software y Servicios B2B,6,56.0,7000.0,293.0,202,4,3.0,0,3,3547421.0,3400000.0,0,10,4.0,3547421.0,5,seed,2022-03-17,3400000.0,3.317808219178082
Factored Quality,2019-01-01,0,0,active,No Especificado,6,11.0,3000.0,0.0,0,3,5.0,0,5,7100000.0,1500000.0,0,7,1.0,7100000.0,3,seed,2023-07-01,1500000.0,2.0273972602739727
Verihubs,2019-01-01,0,0,active,Finanzas,6,66.0,23000.0,38.0,0,7,2.0,0,2,2800000.0,2800000.0,0,16,2.0,2800000.0,3,seed,2021-08-07,2800000.0,3.926027397260274
NavTrac,2019-01-01,0,0,active,Software y Servicios B2B,6,14.0,2000.0,357.0,173,5,2.0,0,2,9157000.0,3867000.0,0,11,3.0,9157000.0,7,seed,2022-04-15,3867000.0,3.2383561643835614
Lume Health,2019-01-01,0,0,active,Salud,6,5.0,82.0,0.0,0,1,2.0,0,2,1000000.0,1000000.0,0,2,1.0,1000000.0,1,seed,2020-08-24,1000000.0,4.879452054794521
MindPortal,2019-01-01,0,7,active,Software y Servicios B2B,6,6.0,1000.0,0.0,0,18,3.0,1,2,5000000.0,5000000.0,0,10,1.0,5000000.0,2,seed,2021-05-24,5000000.0,4.131506849315069
mello,2019-01-01,0,0,active,Software y Servicios B2B,6,2.0,561.0,0.0,52,0,3.0,0,3,245000.0,125000.0,0,2,1.0,245000.0,2,pre_seed,2021-08-01,125000.0,3.9424657534246577
Archbee,2019-01-01,0,0,active,Software y Servicios B2B,6,12.0,4000.0,350.0,404,5,1.0,0,1,3000000.0,2000000.0,0,5,3.0,3000000.0,2,seed,2022-02-14,2000000.0,3.4027397260273973
Quota Lab,2019-01-01,0,0,active,Finanzas,6,20.0,792.0,0.0,0,3,3.0,1,2,16984860.0,11000000.0,0,30,1.0,16984860.0,5,series_a,2022-08-16,11000000.0,2.9013698630136986
Avawatz,2019-01-01,0,0,active,Software y Servicios B2B,6,17.0,435.0,2600.0,347,10,1.0,0,1,195100.0,195100.0,0,2,1.0,195100.0,1,pre_seed,2023-03-01,195100.0,2.361643835616438
Nomod,2019-01-01,0,0,active,Finanzas,6,34.0,2000.0,0.0,0,3,1.0,0,1,3400000.0,3400000.0,0,6,1.0,3400000.0,2,seed,2021-11-15,3400000.0,3.652054794520548
Polytomic,2019-01-01,0,0,active,Software y Servicios B2B,6,8.0,543.0,0.0,85,0,2.0,0,2,2400000.0,2400000.0,0,10,1.0,2400000.0,2,seed,2021-02-03,2400000.0,4.432876712328767
Synapsica,2019-01-01,0,0,active,Salud,6,22.0,4000.0,787.0,253,35,4.0,1,3,311900000.0,311900000.0,0,5,4.0,311900000.0,4,series_a,2021-06-23,311900000.0,4.049315068493151
Roboflow,2019-01-01,6,0,active,Software y Servicios B2B,6,87.0,45000.0,0.0,78,14,2.0,0,2,99714994.0,40000000.0,0,25,4.0,99729994.0,6,series_b,2024-11-19,40000000.0,0.6383561643835617
Kurios,2019-01-01,0,0,active,Educación,6,50.0,14000.0,1000.0,0,0,2.0,0,2,2425000.0,2300000.0,0,8,1.0,2425000.0,3,seed,2022-03-18,2300000.0,3.315068493150685
