nombre_de_la_empresa,fecha_de_fundacion,numero_de_marcas_registradas,numero_de_patentes_otorgadas,estado_operativo,categoria,antiguedad_de_la_empresa,empleados_en_linkedin,seguidores_en_linkedin,seguidores_en_facebook,seguidores_en_twitter,numero_de_articulos,numero_total_de_fundadores,numero_de_mujeres_fundadores,numero_de_hombres_fundadores,financiacion_total_por_acciones,ultima_financiacion_por_acciones,numero_de_inversiones_en_rondas_de_financiacion,numero_de_inversionistas,numero_de_inversionistas_principales,financiacion_total,numero_de_rondas_de_financiacion,tipo_de_ultima_financiacion,fecha_de_ultima_financiacion,monto_de_ultima_financiacion,años_desde_ultima_financiacion
Mighty Health,2018-01-01,0,0,active,Salud,7,16.0,4000.0,1900.0,105,3,3.0,0,3,10400000.0,7600000.0,0,13,2.0,10400000.0,5,series_a,2023-01-25,7600000.0,2.4575342465753423
Bot MD,2018-01-01,0,0,active,Software y Servicios B2B,7,33.0,5000.0,408.0,95,10,2.0,1,1,6590000.0,5000000.0,0,9,3.0,6590000.0,2,series_a,2020-12-22,5000000.0,4.550684931506849
Tenderd,2018-01-01,0,0,active,Bienes Raíces y Construcción,7,72.0,36000.0,20.0,231,26,1.0,0,1,35800000.0,30000000.0,0,19,4.0,35800000.0,4,series_a,2024-06-11,30000000.0,1.0794520547945206
Overview.ai,2018-01-01,1,0,active,Industria,7,48.0,3000.0,0.0,0,27,3.0,0,3,13300000.0,10000000.0,0,10,3.0,13300000.0,2,series_a,2022-02-17,10000000.0,3.3945205479452056
Dagger,2018-01-01,0,0,active,Software y Servicios B2B,7,29.0,5000.0,0.0,0,4,3.0,1,2,30000000.0,20000000.0,0,12,2.0,30000000.0,3,series_a,2022-03-30,20000000.0,3.282191780821918
Feather_2,2018-01-01,1,0,active,Finanzas,7,54.0,3000.0,631.0,119,9,2.0,0,2,9900000.0,6000000.0,0,10,3.0,9900000.0,4,series_a,2024-06-28,6000000.0,1.0328767123287672
Flockjay,2018-01-01,1,0,active,Educación,7,92.0,5000.0,1400.0,0,7,1.0,0,1,14130000.0,11000000.0,0,17,2.0,14130000.0,3,series_a,2021-01-14,11000000.0,4.487671232876712
Lowkey,2018-01-01,0,0,active,No Especificado,7,10.0,763.0,26.0,0,7,1.0,0,1,8600000.0,7000000.0,0,17,1.0,8600000.0,2,series_a,2021-01-15,7000000.0,4.484931506849315
Spero Foods,2018-01-01,8,2,active,Industria,7,12.0,6000.0,0.0,0,13,1.0,1,0,20020000.0,11000000.0,0,11,2.0,20020000.0,4,series_a,2021-05-07,11000000.0,4.178082191780822
Truora,2018-01-01,0,0,active,Finanzas,7,210.0,50000.0,1000.0,0,14,4.0,1,3,18650000.0,15000000.0,0,22,4.0,18650000.0,4,series_a,2022-04-04,15000000.0,3.2684931506849315
Lokal,2018-01-01,0,0,active,No Especificado,7,878.0,104000.0,23000.0,801,10,3.0,0,3,29785602.0,1200000000.0,0,14,6.0,29785602.0,7,series_b,2023-04-25,1200000000.0,2.210958904109589
Endpoint Health,2018-01-01,0,4,active,Salud,7,11.0,2000.0,0.0,0,14,4.0,0,4,64000000.0,52000000.0,0,17,1.0,64000000.0,6,series_a,2022-06-02,52000000.0,3.106849315068493
