founder_name;company_name;last_funding_type;gender
João Borges;BlindPay;pre_seed;male
Christian DalSanto;Maitai;seed;male
Ian Hoegen;Maitai;seed;male
Catheryn Li;Simple AI;pre_seed;female
Zach Kamran;Simple AI;pre_seed;male
Boris Toledano;Linkup;pre_seed;male
Denis Charrier;Linkup;pre_seed;male
Philippe Mizrahi;Linkup;pre_seed;male
Alessandro Vecchi;Sorcerer;seed;male
Austin Tindle;Sorcerer;seed;male
Maxmillion McLaughlin;Sorcerer;seed;male
Shelden Shi;Lilac Labs;pre_seed;male
Tony Kam;Lilac Labs;pre_seed;male
Adit Sanghvi;Decisional AI;pre_seed;male
Dhruv Tandon;Decisional AI;pre_seed;male
Sai Neeraj Kanuri;Decisional AI;pre_seed;male
Dudu Lasry;Vespper;pre_seed;female
Topaz Turkenitz;Vespper;pre_seed;female
Nikhil Srinivasan;Infinite;seed;male
Raj Lad;Infinite;seed;male
Maksim Ivanov;Agentic Labs;pre_seed;male
Robert McKnight;Agentic Labs;pre_seed;male
Brian Model;Thunder Compute;seed;male
Carl Peterson;Thunder Compute;seed;male
Alan Du;DaLMatian;pre_seed;male
Derrick Xin;DaLMatian;pre_seed;male
Jason Cai;DaLMatian;pre_seed;male
Rithwik Pattikonda;CardLift;pre_seed;male
Andrew Wang;GoldenBasis;pre_seed;male
Grant Ackerman;GoldenBasis;pre_seed;male
Elham Islam;Synnax;pre_seed;female
Emiliano Bonilla;Synnax;pre_seed;male
Patrick Dotson;Synnax;pre_seed;male
Anthony Krivonos;Toma;series_a;male
Junyu Huang;Toma;series_a;male
Monik Pamecha;Toma;series_a;female
Ben Wiley;David AI;series_a;male
Tomer Cohen;David AI;series_a;male
Anish Doshi;Helium;pre_seed;male
Shishir Jakati;Helium;pre_seed;male
Zach Witzel;Helium;pre_seed;male
Edouard Labarthe;Plume;pre_seed;male
Jean-Baptiste de La Fage;Plume;pre_seed;male
Ma El;Plume;pre_seed;female
Aayush Shah;Blacksmith;seed;male
Aditya Jayaprakash;Blacksmith;seed;male
Aditya Maru;Blacksmith;seed;male
Anushka Nijhawan;Spur;seed;female
Sneha Sivakumar;Spur;seed;female
Adam Pratt;Henry;seed;male
Sammy Greenwall;Henry;seed;male
Adi Oltean;Starcloud;seed;male
Ezra Feilden;Starcloud;seed;male
Philip Johnston;Starcloud;seed;male
Akhil Iyengar;Operand;seed;male
Arjun Sahney;Operand;seed;male
Ram Gorthi;Operand;seed;male
Ian Gillis;Clara;seed;male
Jonathan Levinson;Clara;seed;male
Kim Rants;Alice tech;seed;female
Patrick Gadd;Alice tech;seed;male
Jay Li;Proception;pre_seed;male
Jianxiang Xu;Proception;pre_seed;male
Abdul Jamjoom;Arini;pre_seed;male
Rami Rustom;Arini;pre_seed;male
Ritvik Pandey;Pulse_1;seed;male
Sid Manchkanti;Pulse_1;seed;male
Charley Lee;Datacurve;pre_seed;male
Serena Ge;Datacurve;pre_seed;female
Finn zur Mühlen;telli;pre_seed;male
Philipp Baumanns;telli;pre_seed;male
Seb Hapte-Selassie;telli;pre_seed;male
Elle Smyth;RetailReady;seed;female
Sarah Hamer;RetailReady;seed;female
Alan Yao;AthenaHQ;seed;male
Andrew Yan;AthenaHQ;seed;male
Haokun Qin;Gale;seed;male
Rahul Gudise;Gale;seed;male
Rishabh Sambare;Gale;seed;male
Brooke Hopkins;Coval;seed;female
Arko Chattopadhyay;Pipeshift;seed;male
Enrique Ferrao;Pipeshift;seed;male
Pranav Reddy;Pipeshift;seed;male
Md Abdul Halim Rafi;Octolane AI;seed;male
One Chowdhury;Octolane AI;seed;male
Ahmed Kerwan;Taxo;seed;male
Hassan Tahir;Taxo;seed;male
Katia Bazzi;Focal_1;pre_seed;female
Ray Morgan;Focal_1;pre_seed;male
Geffen Avraham;Bifrost Orbital;pre_seed;male
Onkar Singh;Bifrost Orbital;pre_seed;male
