founder_name,company_name,last_funding_type,gender
Christian Kohrs,Omnidock,seed,
Sebastian Rödling,Omnidock,seed,
Shayan Zakerzadeh,Omnidock,seed,
Alex Ruber,Encore,pre_seed,
Parth Chopra,Encore,pre_seed,
Elias Almqvist,Exa Laboratories,pre_seed,
Prithvi Raj,Exa Laboratories,pre_seed,
Max Bertfield,Scout,pre_seed,
Noah Fichter,Scout,pre_seed,
Anubhav Guha,Sensei Robotics,pre_seed,
John Piotti,Sensei Robotics,pre_seed,
Axel Peytavin,Innate,pre_seed,
Vignesh Anand,Innate,pre_seed,
Allen Wang,Outerport,pre_seed,
Towaki Takikawa,Outerport,pre_seed,
Gavin Saldanha,Lightscreen AI,seed,
Prachie Banthia,Lightscreen AI,seed,
Jai Padmakumar,1849 Bio,pre_seed,
Yongjin Park,1849 Bio,pre_seed,
Adish Jain,Mosaic,pre_seed,
Kyle Wade,Mosaic,pre_seed,
Ken Hendricks,Basepilot,pre_seed,
Pascal Wieler,Basepilot,pre_seed,
Abhi Rajendran,AminoAnalytica,seed,
Adam Wu,AminoAnalytica,seed,
Matteo Peluso,AminoAnalytica,seed,
Benjamin Liu,Durate,pre_seed,
Michael Mounajjed,Durate,pre_seed,
Adolfo Roquero Gimenez,YouShift,pre_seed,
Jota Chamorro,YouShift,pre_seed,
Lucía Vives Martorell,YouShift,pre_seed,
Coleman Smith,Parity,pre_seed,
Jeffrey Tsaw,Parity,pre_seed,
Wilson Spearman,Parity,pre_seed,
Antonio Monreal,Revise Robotics,pre_seed,
Rupesh Jeyaram,Revise Robotics,pre_seed,
Andrew Pareles,Void,pre_seed,
Mathew Pareles,Void,pre_seed,
Elie Dufeu,Metreecs,pre_seed,
Martin Dimitrov,Metreecs,pre_seed,
Thibaut Pellegrin,Metreecs,pre_seed,
Puneet Sukhija,Bild AI,pre_seed,
Roop Pal,Bild AI,pre_seed,
Benjamin Swerdlow,Freestyle,pre_seed,
Jacob Zwang,Freestyle,pre_seed,
Akshaj Kadaveru,MathDash,pre_seed,
Daniel Sun,MathDash,pre_seed,
Akhilesh Sharma,Lumina,pre_seed,
