company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
Nototo,https://www.crunchbase.com/organization/nototo,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,150000.0,1,seed,2020-08-24,150000.0,2.0,,https://www.facebook.com/nototoapp,https://www.twitter.com/nototoapp,"Austa Jiang, Chen Wang","Apps, Other, Software"
Hideout,https://www.crunchbase.com/organization/hideout-aaf7,150000.0,,150000.0,,2019-01-01,,,3,closed,1.0,c_00001_00010,150000.0,1,pre_seed,2020-03-16,150000.0,1.0,https://www.linkedin.com/company/hideoutinc/,,,Danielle Sobel,"Food and Beverage, Transportation"
Plum Mail,https://www.crunchbase.com/organization/plummail,150000.0,,150000.0,,2019-01-01,,,1,active,1.0,c_00001_00010,150000.0,1,seed,2020-08-25,150000.0,2.0,,,https://twitter.com/plummail,"Peter Saxton, Richard Shepherd","Information Technology, Internet Services, Messaging and Telecommunications"
OpenUnit,https://www.crunchbase.com/organization/openunit,1150000.0,4.0,1000000.0,,2019-01-01,,,5,active,1.0,c_00001_00010,1150000.0,2,seed,2021-05-20,1000000.0,2.0,https://www.linkedin.com/company/openunit,,,"Lucas Playford, Taylor Cooney","Information Technology, Internet Services, Software"
Axite Labs,https://www.crunchbase.com/organization/axite-labs,150000.0,,150000.0,,2019-01-01,,,1,closed,1.0,c_00001_00010,150000.0,1,seed,2019-08-19,150000.0,1.0,https://www.linkedin.com/company/sci-fi/about/,,,Ethan Anderson,"Biotechnology, Data and Analytics, Design, Financial Services, Lending and Investments, Science and Engineering"
Bikry,https://www.crunchbase.com/organization/nearpe,1450000.0,3.0,1300000.0,,2019-01-01,,,4,active,1.0,c_00051_00100,1450000.0,2,seed,2021-07-12,1300000.0,2.0,https://www.linkedin.com/company/bikryapp/,https://www.facebook.com/bikryapp,https://twitter.com/bikryapp,"Abhishek Bhayana, Himanshu Garg","Commerce and Shopping, Consumer Goods, Financial Services, Payments"
Keynua,https://www.crunchbase.com/organization/keynua,1350000.0,1.0,1200000.0,,2019-01-01,,,4,active,2.0,c_00001_00010,1350000.0,2,seed,2019-04-03,1200000.0,4.0,https://www.linkedin.com/company/keynua/,https://www.facebook.com/keynuainc,https://twitter.com/keynuainc,"Alfredo Granda, Inma Cañadas, Luis Alban, Manuel Olguin","Information Technology, Internet Services, Privacy and Security, Software"
Docucharm,https://www.crunchbase.com/organization/docucharm,1973000.0,2.0,1973000.0,,2018-12-05,,,3,closed,1.0,c_00001_00010,1973000.0,1,seed,2019-03-17,1973000.0,2.0,https://www.linkedin.com/company/docucharm/,https://www.facebook.com/DocuCharm-271961667002976/,,"Minh Tri Pham, Sachith Gullapalli","Information Technology, Software"
Middesk,https://www.crunchbase.com/organization/middesk,77000000.0,14.0,57000000.0,,2018-12-01,1.0,0.0,6,active,4.0,c_00101_00250,77000000.0,3,series_b,2022-06-09,57000000.0,2.0,https://www.linkedin.com/company/middesk/,https://www.facebook.com/middesk,https://twitter.com/MiddeskHQ,"Kurt Ruppel, Kyle Mack","Financial Services, Information Technology, Professional Services, Software"
Filadd,https://www.crunchbase.com/organization/filadd,460000.0,,125000.0,,2018-12-01,,,3,active,1.0,c_00101_00250,460000.0,3,seed,2021-08-02,125000.0,1.0,https://www.linkedin.com/company/filadd,https://www.facebook.com/filaddco,https://twitter.com/Filadd_web,Nicolas Ferrer,"Education, Internet Services"
