company_name;link_company;linkedin;linkedin_employees;linkedin_followers;facebook;facebook_followers;selected
Beacons;https://www.crunchbase.com/organization/beacons-ai;https://www.linkedin.com/company/beacons-ai;89;5000;https://www.facebook.com/beaconsai;1200;1
Photoroom;https://www.crunchbase.com/organization/photoroom;https://www.linkedin.com/company/photoroom;567;16000;https://www.facebook.com/PhotoRoom-105863290980747;255000;1
Armilla AI;https://www.crunchbase.com/organization/armilla-ai;https://www.linkedin.com/company/armilla-ai;17;4000;;0;1
Ajaib;https://www.crunchbase.com/organization/ajaib;https://www.linkedin.com/company/ajaib-id;647;180000;https://www.facebook.com/ajaib.investasi;36000;1
Shiru;https://www.crunchbase.com/organization/shiru;https://www.linkedin.com/company/shiru-inc/;30;8000;;0;1
Toolbox;https://www.crunchbase.com/organization/toolbox-d57b;https://www.linkedin.com/company/mytoolbox-co/;19;1000;https://www.facebook.com/trytoolbox;0;1
Kraftful;https://www.crunchbase.com/organization/kraftful;https://www.linkedin.com/company/kraftful;12;8000;https://www.facebook.com/Kraftful;137;1
Lightly;https://www.crunchbase.com/organization/mirage;https://www.linkedin.com/company/mirage-tech;26;4000;https://www.facebook.com/pg/LightlyAI;139;1
Ramen VR;https://www.crunchbase.com/organization/ramen-vr;https://www.linkedin.com/company/ramen-vr;14;2000;;0;1
Deepnote;https://www.crunchbase.com/organization/deepnote;https://www.linkedin.com/company/deepnote/;35;11000;https://www.facebook.com/deepnoteHQ/;706;1
Rutter;https://www.crunchbase.com/organization/rutter-1560;https://www.linkedin.com/company/rutter;32;6000;;0;1
UserGems;https://www.crunchbase.com/organization/usergems;https://www.linkedin.com/company/usergems/;97;20000;https://www.facebook.com/usergems/;532;1
Synapticure;https://www.crunchbase.com/organization/synapticure;https://www.linkedin.com/company/synapticure-inc/;87;23000;;0;1
Eclipse Foods;https://www.crunchbase.com/organization/eclipse-foods;https://www.linkedin.com/company/eclipse-foods;32;8000;https://www.facebook.com/eclipsefoodsco;1200;1
Ophelia;https://www.crunchbase.com/organization/ophelia;https://www.linkedin.com/company/meetophelia/;309;7000;https://www.facebook.com/opheliahealth/;4200;1
Gaiascope;https://www.crunchbase.com/organization/gaiascope;https://www.linkedin.com/company/gaiascope;6;2000;;0;1
Nomic;https://www.crunchbase.com/organization/nplex-biosciences;https://www.linkedin.com/company/nomicbio;89;8000;;0;1
Turing Labs;https://www.crunchbase.com/organization/turing-labs-inc;https://www.linkedin.com/company/turing-labs-inc/;21;3000;;0;1
ditto;https://www.crunchbase.com/organization/ditto-8d66;https://www.linkedin.com/company/ditto-app;18;2000;;0;1
Laudable;https://www.crunchbase.com/organization/laudable-02aa;https://www.linkedin.com/company/getlaudable;8;3000;https://www.facebook.com/getlaudable;106;1
Juicy Marbles;https://www.crunchbase.com/organization/juicy-marbles;https://www.linkedin.com/company/juicymarbles/;40;8000;https://www.facebook.com/juicymarbles/;9500;1
Spenmo;https://www.crunchbase.com/organization/spenmo;https://www.linkedin.com/company/spenmo/;73;24000;https://www.facebook.com/Spenmosingapore;77;1
Atomic Industries;https://www.crunchbase.com/organization/atomic-industries;https://www.linkedin.com/company/atomicindustries;40;2000;;0;1
Multiverse;https://www.crunchbase.com/organization/multiverse-adb5;https://www.linkedin.com/company/multiversegames;12;565;https://www.facebook.com/playmultiverse/;0;1
Zitara Technologies;https://www.crunchbase.com/organization/zitara-technologies;https://www.linkedin.com/company/zitara-technologies;34;3000;;0;1
Keeper_2;https://www.crunchbase.com/organization/keeper-tax;https://www.linkedin.com/company/keeper-tax;33;5000;https://www.facebook.com/keepertax;15000;1
Gaiia;https://www.crunchbase.com/organization/gaiia;https://www.linkedin.com/company/gaiiasoftware;68;3000;;0;1
Compound;https://www.crunchbase.com/organization/compound-financial;https://www.linkedin.com/company/withcompound;2;29;;0;1
Dripos;https://www.crunchbase.com/organization/drip-650c;https://www.linkedin.com/company/drippos;32;3000;;0;1
PowerX;https://www.crunchbase.com/organization/powerx;https://www.linkedin.com/company/powerx;17;3000;https://www.facebook.com/PowerXSolutions;153;1
