company_name,link_company,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers,num_female_founders,num_male_founders,has_linkedin,has_facebook,has_twitter,twitter_followers,category,company_age
Inito,https://www.crunchbase.com/organization/inito,13450000.0,31,6000000.0,0,2015-01-01,0,0,7,active,4.0,c_00051_00100,13450000.0,7,series_a,2023-11-15,6000000.0,2.0,https://www.linkedin.com/company/10073351/,,,https://www.facebook.com/InitoFertilityUSA/,,0,2,1,1,0,0,Software y Servicios B2B,10
iSono Health,https://www.crunchbase.com/organization/isono-health,5457679.0,17,1837679.0,0,2015-01-01,2,3,5,active,3.0,c_00001_00010,6448679.0,5,seed,2025-03-26,1837679.0,2.0,https://www.linkedin.com/company/6453013?trk=prof-exp-company-name,,,https://www.facebook.com/isonohealth/?fref=ts,,1,1,1,1,1,443,Software y Servicios B2B,10
Enso,https://www.crunchbase.com/organization/enso-org,30625000.0,0,16500000.0,0,2015-01-01,0,0,10,active,2.0,c_00011_00050,30625000.0,4,seed,2022-04-19,16500000.0,2.0,https://www.linkedin.com/company/enso-org,,,,0,1,1,1,0,1,0,Software y Servicios B2B,10
GetAccept,https://www.crunchbase.com/organization/getaccept,28720000.0,24,20000000.0,0,2015-01-01,1,0,8,active,4.0,c_00101_00250,28720000.0,4,series_b,2020-12-07,20000000.0,4.0,https://www.linkedin.com/company/getaccept,,,https://www.facebook.com/GetAccept,,0,4,1,1,1,0,Software y Servicios B2B,10
Revl,https://www.crunchbase.com/organization/revl,17450000.0,22,8800000.0,0,2015-01-01,1,0,18,active,3.0,c_00011_00050,17450000.0,5,series_a,2020-02-25,8800000.0,3.0,https://www.linkedin.com/company/revl-inc-,,,https://www.facebook.com/RevlExperiences/,,0,3,1,1,1,466,Software y Servicios B2B,10
Playment,https://www.crunchbase.com/organization/playment,2420000.0,23,1600000.0,0,2015-01-01,0,0,6,active,5.0,c_00011_00050,2470000.0,4,seed,2017-11-21,1600000.0,3.0,https://www.linkedin.com/company/6611939,,,https://www.facebook.com/playmentHQ,,0,3,1,1,0,0,Software y Servicios B2B,10
Validere,https://www.crunchbase.com/organization/validere-technologies,68061264.0,21,55000000.0,0,2015-01-01,1,6,31,active,5.0,c_00051_00100,69261264.0,9,series_b,2022-03-15,55000000.0,2.0,https://www.linkedin.com/company/validere/,,,https://www.facebook.com/valideretechnologies,,0,2,1,1,1,13,Software y Servicios B2B,10
Beek,https://www.crunchbase.com/organization/beek-2,13125000.0,10,13000000.0,0,2015-01-01,0,0,19,active,1.0,c_00051_00100,13125000.0,3,series_a,2023-02-02,13000000.0,2.0,https://www.linkedin.com/company/beek-io,,,https://www.facebook.com/beek_io,,1,1,1,1,1,0,Software y Servicios B2B,10
Pocket Worlds,https://www.crunchbase.com/organization/pocket-worlds,10000000.0,20,7000000.0,0,2015-01-01,0,0,12,active,2.0,c_00101_00250,10000000.0,2,series_a,2021-01-28,7000000.0,3.0,https://www.linkedin.com/company/pocketworlds,,,,0,0,3,1,0,1,0,Software y Servicios B2B,10
Triplebyte,https://www.crunchbase.com/organization/triplebyte,48120000.0,18,35000000.0,0,2015-01-01,0,0,33,active,4.0,c_00051_00100,48120000.0,4,series_b,2019-04-11,35000000.0,3.0,https://www.linkedin.com/company/triplebyte,,,https://www.facebook.com/triplebyte,,0,3,1,1,1,0,Software y Servicios B2B,10
Vetcove,https://www.crunchbase.com/organization/vetcove-2,3025000.0,1,3025000.0,0,2015-01-01,0,0,21,active,2.0,c_00101_00250,3025000.0,1,pre_seed,2016-08-22,3025000.0,2.0,https://www.linkedin.com/company/vetcove,,,https://www.facebook.com/vetcove,,0,2,1,1,1,513,Salud,10
Prenda,https://www.crunchbase.com/organization/prenda,45802599.0,4,20000000.0,0,2015-01-01,1,0,14,active,3.0,c_00101_00250,45802599.0,6,series_b,2022-06-13,20000000.0,3.0,https://www.linkedin.com/company/prenda/,,,https://www.facebook.com/prendalearn,,1,2,1,1,1,0,Educación,10
Reliance Health,https://www.crunchbase.com/organization/reliancehealth,48267388.0,5,40000000.0,0,2015-01-01,0,0,15,active,2.0,c_00251_00500,48267388.0,3,series_b,2022-02-01,40000000.0,3.0,https://www.linkedin.com/company/reliance-health-global/,,,https://www.facebook.com/reliancehmo,,0,3,1,1,0,0,Finanzas,10
TransAstra,https://www.crunchbase.com/organization/transastra,7025000.0,28,4000000.0,0,2015-01-01,0,0,16,active,1.0,c_00011_00050,7025000.0,4,seed,2021-09-10,4000000.0,1.0,https://www.linkedin.com/company/trans-astronautica-corporation,,,,0,0,1,1,0,0,0,Industria,10
KidPass,https://www.crunchbase.com/organization/kidpass,11600000.0,8,5500000.0,0,2015-01-01,2,0,23,active,1.0,c_00011_00050,11600000.0,4,series_b,2019-05-31,5500000.0,3.0,https://www.linkedin.com/company/kidpass/,,,http://facebook.com/kidpass,,0,3,1,1,1,781,Educación,10
Breathe Well-being,https://www.crunchbase.com/organization/breathe-well-being,12804600.0,7,500000000.0,0,2015-01-01,0,0,14,active,3.0,c_00051_00100,12804600.0,4,series_b,2023-01-19,500000000.0,2.0,https://www.linkedin.com/company/breathe-well-being,,,https://www.facebook.com/breathewellbeing,,0,2,1,1,1,36,Salud,10
AON3D,https://www.crunchbase.com/organization/aon3d,14300000.0,5,11500000.0,0,2015-01-01,0,2,16,active,2.0,c_00011_00050,14300000.0,3,series_a,2021-09-02,11500000.0,3.0,https://www.linkedin.com/company/aon3d/,,,https://www.facebook.com/aon3dinc,,0,3,1,1,1,0,Industria,10
Vinebox,https://www.crunchbase.com/organization/vinebox,6020000.0,8,5900000.0,0,2015-01-01,2,0,5,active,2.0,c_00001_00010,6020000.0,3,series_a,2019-01-19,5900000.0,2.0,https://www.linkedin.com/company/vinebox,,,https://www.facebook.com/getVINEBOX,,1,1,1,1,1,0,Consumo,10
Zenysis,https://www.crunchbase.com/organization/zenysis,21900000.0,2,13300000.0,0,2015-01-01,0,0,10,active,1.0,c_00011_00050,21900000.0,3,series_b,2022-06-22,13300000.0,2.0,https://www.linkedin.com/company/zenysis-technologies,,,,0,0,2,1,0,1,391,Software y Servicios B2B,10
Cityfurnish,https://www.crunchbase.com/organization/cityfurnish,7650000.0,14,2500000.0,0,2015-01-01,0,0,18,active,5.0,c_00101_00250,10150000.0,6,series_a,2022-11-11,2500000.0,2.0,https://www.linkedin.com/company/cityfurnish?trk=biz-companies-cym,,,https://www.facebook.com/cityFurnishRental,,0,2,1,1,0,0,Bienes Raíces y Construcción,10
GoLorry,https://www.crunchbase.com/organization/golorry,294998.0,0,174998.0,0,2015-01-01,0,0,2,active,1.0,c_00011_00050,294998.0,2,seed,2018-09-05,174998.0,3.0,https://www.linkedin.com/company/golorry/,,,,0,0,3,1,0,1,4,Software y Servicios B2B,10
Invofox,https://www.crunchbase.com/organization/invofox,500000.0,1,500000.0,0,2015-01-01,0,0,1,active,1.0,c_00011_00050,500000.0,1,pre_seed,2022-08-22,500000.0,3.0,https://www.linkedin.com/company/invofox,,,,0,0,3,1,0,1,36,Finanzas,10
