company_name,link_company,linkedin,linkedin_employees,linkedin_followers,facebook,facebook_followers
Outtalent,https://www.crunchbase.com/organization/outtalent,https://www.linkedin.com/company/outtalent/,,,https://www.facebook.com/outtalent/,
GradJoy,https://www.crunchbase.com/organization/gradjoy,https://www.linkedin.com/company/gradjoy,,,,0
Matidor.com,https://www.crunchbase.com/organization/matidor,https://www.linkedin.com/company/matidorapp,,,https://www.facebook.com/matidorapp,
Gamebytes,https://www.crunchbase.com/organization/fad-mania,https://www.linkedin.com/company/fadmania/,,,,0
Moichor,https://www.crunchbase.com/organization/moichor,https://www.linkedin.com/company/moichor,,,https://www.facebook.com/Moichor1/,
Courier,https://www.crunchbase.com/organization/try-courier,https://www.linkedin.com/company/trycourier,,,https://www.facebook.com/trycourier,
Zingbus,https://www.crunchbase.com/organization/zingbus,https://in.linkedin.com/company/zingbus,,,https://www.facebook.com/zing.bus/,
PowerUs,https://www.crunchbase.com/organization/electry,https://www.linkedin.com/company/power-us/,,,,0
Memberstack,https://www.crunchbase.com/organization/memberstack,https://www.linkedin.com/company/memberstack,,,,0
Bun,https://www.crunchbase.com/organization/oven,https://www.linkedin.com/company/ovensh,,,,0
Mage App,https://www.crunchbase.com/organization/mage-market,https://www.linkedin.com/company/19039387/,,,https://facebook.com/magemarketHQ,
Munily,https://www.crunchbase.com/organization/munily,https://www.linkedin.com/company/munilyapp/about/,,,https://www.facebook.com/munilyappp/,
PayMongo,https://www.crunchbase.com/organization/paymongo,https://www.linkedin.com/company/paymongo,,,https://www.facebook.com/paymongo,
Mystic,https://www.crunchbase.com/organization/neuro-ai,https://www.linkedin.com/company/mystic-ai/,,,,0
GiveAway,https://www.crunchbase.com/organization/giveaway-189e,https://www.linkedin.com/company/giveawayglobal,,,https://web.facebook.com/giveawayby/,
Calii,https://www.crunchbase.com/organization/calii,https://www.linkedin.com/company/calii/,,,https://www.facebook.com/caliiapp/,
Text Blaze,https://www.crunchbase.com/organization/text-blaze,https://www.linkedin.com/company/19114105/,,,https://www.facebook.com/textblaze/,
Digi-Prex,https://www.crunchbase.com/organization/digi-prex,https://www.linkedin.com/company/digi-prex/,,,https://www.facebook.com/Digi-Prex-2373617052875044/,
Synder,https://www.crunchbase.com/organization/cloudbusiness,https://www.linkedin.com/company/synder,,,https://www.facebook.com/SynderHQ,
SuperTokens,https://www.crunchbase.com/organization/supertokens,https://www.linkedin.com/company/supertokens/,,,https://www.facebook.com/SuperTokenss/,
Clicoh,https://www.crunchbase.com/organization/clicoh,https://www.linkedin.com/company/clicoh/,,,https://www.facebook.com/clicoh/,
Blair,https://www.crunchbase.com/organization/blair,https://www.linkedin.com/company/joinblair,,,https://www.facebook.com/joinblair/,
Datasaur,https://www.crunchbase.com/organization/datasaur,https://www.linkedin.com/company/datasaur,,,https://www.facebook.com/DatasaurNLPLabeling,
