company_name;num_female_founders;num_male_founders
BuildPlane;0;3
BuildScience;0;2
BuildStream;0;4
Bujeti;0;2
BukuWarung;1;3
Bun;0;1
Bunkerhill Health;0;2
Bunkyr;0;2
Bunting Labs;0;2
Buoyant Aero;0;2
Bus.com;0;2
Business Score (YC S19);0;1
BusinessOnBot;0;4
Buster;0;2
Buttermilk;1;0
Buy Me a Coffee;1;2
Buycoins;2;1
Byte Kitchen;0;3
Byterat;1;2
COUTURME;1;0
CSPA;0;3
CTGT;0;2
Cabal;0;2
Cache;0;2
Caddie;0;2
Cadence;1;3
Caelum Health;1;1
Café;0;2
Cair Health;0;2
Caire Health;0;3
Cairns Health;0;4
Cakework;1;2
California Dreamin;1;1
Calii;0;2
Call9;1;2
Callback;0;2
Calltree AI;0;2
Camber;1;2
Cambio;0;2
CambioML;2;0
Cambridge Cancer Genomics;1;3
Cambridge Mask Co;0;1
Camelan;1;0
Camelot.ai;1;2
Camfer;0;3
Camlist;1;1
Camp;1;2
Campfire;0;2
Campfire (YC W22);1;1
Can of Soup;0;2
Candor;1;1
CandorIQ;0;2
Canix;1;1
Canvas AI;0;1
Capi Money;0;3
Capitol AI;0;2
Capix;0;1
Capsule;2;0
CarDash;0;3
Carbon Crusher;0;2
Carbon-12 Labs, Inc.;0;3
CarbonChain;0;4
Carbonfact;0;3
CardLift;0;1
Cardamon;0;2
Cardda;0;2
Cardinal;0;2
Cardinal Gray;0;3
Care Weather;0;2
CareLedger;0;2
CareRev;1;1
CareSkore;0;2
Career Karma;0;3
CareerTu;1;0
Careerist;0;3
Cargo;0;2
Carma;0;2
Carousel Technologies;0;2
Carry;1;1
CartPanda;0;1
Cartage;0;3
Cartcam;0;1
Carupi;0;1
Casca;0;2
CaseGuide;0;1
Caseflood.ai;1;2
Casehopper;1;1
Cash Flow Portal;0;1
CashBook;0;2
Cashboard;0;1
Cashmere;0;1
Casixty;0;2
Castle;0;3
Castled.io;0;3
Castodia;1;1
Catch;1;1
Catena Biosciences;0;3
Cedalio;1;2
Cedana;0;2
Cedar;1;1
Cekura;0;2
Cekura AI;0;3
Celest;0;1
Cenote;1;2
Centaur Labs;0;3
Centauri AI;0;3
Central;1;2
Centralize;0;2
Cera;1;1
Cercli;0;2
Cerebrium;0;3
Cerelyze;0;1
Cero.AI;0;3
Cerrion;0;3
Certainly Health;0;2
Cerulion;0;2
Chaos Genius;1;1
Charge Running;1;2
Chargehound;0;1
Chariot;0;3
Chart;0;1
Chaser;0;2
Chatbiz.id;0;1
Chatfuel;0;2
Chatpay;0;1
Chatter;0;2
Chatwoot;0;3
Checkars;0;2
Cheddar Card;0;1
Cheers;0;1
CheqUPI;0;2
Cheqout;0;3
Cherry;2;0
Cherry Recommends;0;2
Chillabit;2;2
Chima;2;0
Chordio;0;3
Chorrie;1;1
Chorus Meditation;1;2
Chorus Sleep;1;2
Chowdeck;0;3
Chutney;1;1
Cinapse;1;3
Circa;0;3
Circle;1;1
Circleback;0;2
Circlemind;0;3
Ciro;0;3
Cisterna Biologics;0;1
Cityfurnish;0;2
Clad;0;1
ClaimSorted;0;2
Claire;1;1
Clara;0;2
Clara Labs;0;2
Clarity.so;1;1
Clarum;0;2
Clay;0;2
Cleancard;0;2
Clear;1;0
ClearBrain;0;2
Clearest Health;0;2
Clearly AI;1;1
Clearmix;0;1
Cleva;0;2
Clew;0;2
Clicoh;0;4
Clinikally;0;2
ClipDrop;0;3
Cloosiv;0;2
Closure;0;2
Cloud Workout;0;2
CloudCruise;1;2
CloudEagle.ai;1;1
Cloudanix;0;2
Cloudaxis;0;1
Cloudchipr;0;2
Cloudstitch;0;2
Cloudthread;0;3
Clueso;0;3
Clupp;1;1
CoCrafter;1;2
CoLab Software;0;2
CoVerified;1;3
Coba;0;4
Coblocks;1;1
Coco;0;3
Coco Pago;0;3
Cococart;0;2
Cocoon_1;3;0
Cocoon_2;0;2
CocuSocial, Inc.;1;1
CodeAnt AI;0;2
CodeComplete;1;1
CodeCrafters;0;2
CodeParrot;0;2
CodeStory;0;2
CodeStream;0;5
CodeViz;0;2
Codeball;0;2
Codebuff;0;2
Coderhouse;0;3
Codes Health;0;3
Codex;0;3
Cofactr;0;2
CoffeeAI;0;2
Cognition IP;0;2
Cognito;0;3
Cogram;0;2
Cohere;1;2
CoinBundle;0;1
CoinTracker;0;2
Coinfeeds;1;1
Coinrule;0;3
Coldreach;1;1
Collate;1;1
CollectWise;0;2
Collectly;0;2
College Pulse;0;2
Color Dating;0;1
Comet Healthcare;1;1
Comfy Deploy;0;2
Command AI;0;3
Commery;0;3
CommodityAI;0;3
CompUp;0;2
Compgun;0;2
Complete;1;1
Compose.AI;0;3
Compound;0;1
Compra Rapida;0;2
Comradery;0;1
Concord Materials;0;1
Concourse;0;2
Conductor Quantum;0;2
Conduit_1;0;2
Conduit_2;1;1
Cone Software;0;3
Confident AI;0;2
Conntour;0;2
Constant;0;1
ConstructVR;0;2
Constructable;2;1
Consus;0;1
Conta Simples;0;4
ContaLink;0;1
ContainIQ;0;2
Continue;0;2
Contour;0;2
ContraForce;0;2
Contraline;0;2
Contrario;0;2
ControlHub;0;2
Conveo;0;3
Convex;0;3
Convictional;0;2
ConvoStats;0;1
Convoy;0;1
Coolstar;1;1
Coperniq Inc.;0;2
Copia;2;0
Copilot;0;2
CopyCat;0;3
Coral Labs;1;1
CoreCare;0;5
Corefin;0;2
Corgea;0;1
Corgi;1;1
CorgiAI;0;1
Coris;0;2
Corrily;0;2
Corvus Robotics;1;0
Cosine;0;3
Cosmic;0;2
Cotera;0;1
Cotter;1;3
Coupl;0;2
Courier;0;1
Coval;1;0
Covela;1;1
Cover;1;3
Coverage Cat;0;2
Covetly;0;4
Covie;0;3
Cowlar;0;2
Cowrywise;0;2
CozmoX AI (YC W22);1;1
Cracked;1;1
Cradle;0;2
CraftOS;0;1
Craftwork;1;3
Craniometrix;0;1
Crave Solutions AI;0;1
Craze;0;1
Craze Technologies;0;2
CreatorML;0;1
CreatorOS Inc;0;4
Credibook;1;2
Credy;0;2
Creo;0;2
Crew.work;0;2
Criya;1;0
Cron;0;1
CrowdAI;1;2
CrowdAmp Inc.;1;2
CrowdVolt;1;2
Crustdata;0;3
Cuanto;0;3
Cuboh;0;2
Cuckoo;0;2
Culdesac;0;2
Culture Biosciences;0;2
Cumbuca;0;1
Curacel;0;2
CureSkin;0;2
Curebase;0;1
Curious Fictions;1;0
Curo;0;2
Current Foods;1;2
Curri;0;2
Curtsy;1;3
Curvenote;1;1
CustomerOS;1;2
Customily;1;1
Cutr;0;3
Cyble;1;1
Cypher Wallet;0;1
D-ID;1;2
DAGWorks;0;2
DGI Apparel;0;3
DIME;0;2
DM Tiger;0;1
DaLMatian;0;3
Daedalus;0;1
Dagger;1;2
Daily.co;2;1
DailyBot;0;2
DailyDoctor;0;2
DailyPe;0;1
Dalus;0;2
Dapi;0;3
Darrow;1;2
Darsel;0;1
Dart;0;2
Dartboard Energy;0;2
Dashblock;0;2
Dashlabs.ai;0;6
Dashworks;0;2
Data Driven Bioscience;0;1
DataShare;0;1
Datacurve;1;1
Dataherald;0;2
Dataleap;0;2
Datamode;0;2
Datasaur;0;1
Datlo;2;1
Datree;0;3
David AI;0;2
Daybreak Health;0;3
Dayra;0;1
Dbrain;0;4
Deako;0;2
Dealls Jobs;0;1
Deasie;0;3
Debrief;0;2
Decent;0;4
Decentro;0;2
Decipher AI;0;2
Decisional AI;0;3
Decoda Health;0;2
Decoherence;0;2
Deed;1;2
Deep Meditate;0;1
DeepNight;0;2
DeepSim;0;3
Deepgram;0;2
Deepnote;0;4
Defer;0;2
Defog;1;1
Delee;1;2
Delegasi;0;2
Delfino AI;2;0
Delight;1;1
Delineate;1;1
Delphia;0;4
Delve;1;1
Demand Curve;0;4
Demeanor.co;0;4
Demeter;1;1
Demigod;0;3
