company_name,equity_funding_total,num_articles,last_equity_funding_total,num_investments_funding_rounds,founded_on,ipqwery_num_trademark_registered,ipqwery_num_patent_granted,num_investors,operating_status,num_lead_investors,num_employees_enum,funding_total,num_funding_rounds,last_funding_type,last_funding_at,last_funding_total,num_founders,linkedin,facebook,twitter,founders,categories
Superagent,500000.0,2.0,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/superagent-sh,,https://twitter.com/superagent_ai,"Alan Zabihi, Ismail Pelaseyed",Software
Odo,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/odolabs/,,,"Andrew Wagner, Yooni Ahn","Artificial Intelligence (AI), Other, Software"
Serra Technologies,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/serraio/,,https://x.com/serratechnology,"Alan Wang, Albert Stanley","Data and Analytics, Design, Hardware, Information Technology, Internet Services, Software"
Meru_1,2700000.0,1.0,2700000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,2700000.0,1,pre_seed,2023-05-01,2700000.0,2.0,,,,"Rohan Arora, Venkat Krishnan","Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software"
Poka Labs,500000.0,,500000.0,,2023-01-01,,,3,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/pokalabs,,,"Andrew Bass, Malay Shah","Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software"
Baselit,500000.0,1.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-04-05,500000.0,3.0,https://www.linkedin.com/company/baselit,,,"Ankit Goyal, Sahil Singla, Shubham Rana","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software"
Azalea Robotics Corporation,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/azalea-robotics/,,,"David Millard, John B. Stroud","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation"
mdhub,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-09-25,500000.0,2.0,https://www.linkedin.com/company/mdhub-ai,https://www.facebook.com/profile.php?id=61550261195082,https://x.com/mdhub_ai,"Dominik Middelmann, Efrén A. Lamolda","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software"
Health Harbor,500000.0,10.0,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,3.0,https://www.linkedin.com/company/health-harbor,https://www.facebook.com/profile.php?id=100095138463726,https://twitter.com/healthharbor_us,"Alan Liu, Gloria Wu, Nathan Amin","Health Care, Information Technology, Software"
Glide,500000.0,,500000.0,,2023-01-01,,,1,active,1.0,c_00001_00010,500000.0,1,pre_seed,2023-09-06,500000.0,2.0,https://www.linkedin.com/company/paywithglide/,,,"Qinyu Tong, Tushar Soni","Other, Software"
Relari,500000.0,1.0,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-04-03,500000.0,2.0,https://www.linkedin.com/company/relari,,,"Pasquale Antonante, Yi Zhang",Software
Bilanc,500000.0,,500000.0,,2023-01-01,,,2,active,1.0,c_00001_00010,500000.0,1,pre_seed,2024-02-27,500000.0,1.0,https://www.linkedin.com/company/bilanc,,https://twitter.com/BilancFinance,Samuel Akinwunmi,Software
Carma,500000.0,2.0,500000.0,,2023-01-01,,,1,active,1.0,c_00011_00050,500000.0,1,pre_seed,2024-02-27,500000.0,2.0,https://www.linkedin.com/company/carma-com,,,"Brandt Lawson, Muhammad Alasgarli",Transportation
